Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay
3/20/2024 0:11,Truck_7,-65.7383,11.2497,390,Delayed,27,67.8,Detour,38,320,4,None,60.1,285,1
10/30/2024 7:53,Truck_6,22.2748,-131.7086,491,In Transit,22.5,54.3,Heavy,16,439,7,Weather,80.9,174,1
7/29/2024 18:42,Truck_10,54.9232,79.5455,190,In Transit,25.2,62.2,Detour,34,355,3,None,99.2,260,0
10/28/2024 0:50,Truck_9,42.39,-1.4788,330,Delivered,25.4,52.3,Heavy,37,227,5,Traffic,97.4,160,1
9/27/2024 15:52,Truck_7,-65.8477,47.9468,480,Delayed,20.5,57.2,Clear,56,197,6,None,71.6,270,1
9/17/2024 6:02,Truck_7,73.3312,46.5831,118,In Transit,24.3,61.8,Clear,56,258,10,None,66.8,189,0
2/5/2024 8:38,Truck_4,27.9307,147.5317,480,Delayed,20.7,75.4,Clear,32,263,3,None,73.3,198,1
9/28/2024 9:08,Truck_9,46.5643,-126.5348,222,In Transit,23.3,64.2,Detour,30,459,9,Traffic,73.8,253,0
1/18/2024 8:27,Truck_9,-83.6737,-31.7125,245,Delivered,26.4,77.2,Clear,14,183,2,None,69.6,206,0
11/9/2024 0:48,Truck_2,54.1683,-135.2676,389,In Transit,21.9,57.3,Clear,52,127,7,Mechanical Failure,63.1,224,0
1/9/2024 23:19,Truck_9,82.9633,-154.5274,319,Delayed,22,53.5,Clear,28,360,4,None,69.8,171,1
2/2/2024 22:28,Truck_10,-25.2768,156.1262,234,Delivered,29.7,63.6,Detour,13,406,10,Traffic,85.5,238,0
2/17/2024 21:14,Truck_8,-65.526,-3.0202,154,In Transit,21.5,74.2,Detour,38,215,3,Weather,84.4,114,0
3/4/2024 6:44,Truck_2,-26.1836,-30.3641,348,Delivered,27.3,71.6,Detour,30,211,2,None,96.4,115,0
8/28/2024 12:19,Truck_3,2.6709,-80.8879,163,In Transit,25.1,76.8,Heavy,54,320,5,Weather,93.2,231,1
1/4/2024 22:52,Truck_5,-22.4793,-54.5143,130,Delayed,23.7,68.1,Clear,45,487,4,Traffic,84.1,256,1
10/30/2024 17:52,Truck_4,-34.5353,-40.8617,391,Delayed,21.6,72.5,Clear,58,298,7,Traffic,61.5,170,1
7/15/2024 15:42,Truck_7,-8.7105,-17.8347,344,Delayed,21.4,53.5,Detour,23,461,9,None,93.4,106,1
1/19/2024 6:42,Truck_5,14.6629,116.0696,409,Delayed,27.5,66.6,Detour,29,492,3,None,72.6,204,1
4/28/2024 21:23,Truck_10,75.7743,108.9425,457,In Transit,25.5,75.9,Clear,21,315,3,Traffic,83.4,248,0
3/6/2024 20:00,Truck_5,50.3419,108.5647,207,Delivered,29.3,59.4,Detour,31,174,5,Mechanical Failure,65.9,195,0
11/20/2024 16:38,Truck_8,-6.6729,132.6727,155,Delivered,19.4,53.2,Heavy,20,152,1,Mechanical Failure,99.3,235,1
1/7/2024 9:13,Truck_6,-74.1751,-102.7331,314,Delivered,19.9,64.8,Detour,57,396,10,Weather,78.6,135,0
9/25/2024 15:12,Truck_10,-33.2264,169.6187,156,In Transit,27.2,74.4,Clear,35,354,2,Weather,63.1,282,0
2/11/2024 13:30,Truck_2,-34.4469,93.1585,119,In Transit,28.1,72.4,Detour,41,176,2,None,60.9,238,0
11/20/2024 11:22,Truck_3,-13.511,141.8454,112,In Transit,19.7,76.6,Detour,22,121,3,Traffic,80.9,262,0
6/25/2024 2:26,Truck_3,-22.427,108.2306,435,Delivered,25.8,78.6,Heavy,22,220,7,Traffic,90.8,101,1
6/25/2024 0:01,Truck_9,43.3353,-12.0683,422,Delivered,20,62.9,Heavy,14,184,9,Traffic,64,248,1
5/2/2024 2:33,Truck_4,-66.7517,161.45,353,In Transit,20.5,52,Heavy,26,392,7,Traffic,76.4,155,1
8/10/2024 0:04,Truck_8,-65.7349,-173.3011,299,Delayed,23.9,50.1,Heavy,17,315,6,None,88.3,252,1
5/13/2024 3:20,Truck_1,-55.4768,18.2551,261,Delayed,22.5,78.4,Clear,41,209,6,Mechanical Failure,71.8,240,1
12/2/2024 8:32,Truck_8,5.9179,74.8254,425,Delayed,19.3,51.1,Heavy,39,235,9,Mechanical Failure,88.3,242,1
2/12/2024 6:23,Truck_7,49.3929,-47.5805,369,Delivered,26.3,52.1,Detour,48,104,7,None,66.7,220,0
4/24/2024 6:17,Truck_10,80.3158,70.765,223,Delayed,24,60.2,Heavy,45,292,6,Weather,78.4,205,1
12/6/2024 19:05,Truck_2,-19.8847,42.5062,200,Delivered,28.1,72.1,Detour,28,129,9,None,74.3,134,0
4/30/2024 11:53,Truck_9,5.4555,-147.5455,466,In Transit,26.1,72.1,Detour,54,475,9,Mechanical Failure,83.4,222,0
9/19/2024 22:53,Truck_8,-19.2577,66.744,474,In Transit,27.7,71.2,Heavy,50,311,3,Mechanical Failure,91.6,266,1
12/22/2024 15:08,Truck_6,-79.0792,-16.3423,490,Delivered,23.1,75.2,Heavy,14,460,7,None,87.8,261,1
8/15/2024 5:45,Truck_5,-1.6787,3.2441,126,Delivered,29.6,67.6,Detour,19,201,9,Weather,84.1,255,0
3/16/2024 11:17,Truck_7,-8.2431,-12.4959,164,In Transit,18.2,76.4,Clear,45,466,7,None,98.1,196,0
12/28/2024 11:40,Truck_2,-30.0701,135.6396,477,Delayed,19.2,79.4,Clear,12,310,5,Mechanical Failure,63.7,129,1
2/4/2024 18:55,Truck_5,61.8444,107.4835,245,In Transit,24.2,56.9,Detour,39,379,2,Traffic,66.4,183,0
7/9/2024 2:12,Truck_5,40.784,77.2346,172,Delayed,25.2,67.6,Clear,40,274,7,Weather,66.3,170,1
12/1/2024 23:54,Truck_7,-68.3515,158.251,206,Delayed,20.7,77.5,Clear,15,308,2,Mechanical Failure,63.9,209,1
6/22/2024 13:26,Truck_6,-33.8378,73.3221,310,In Transit,18.7,54.7,Clear,52,232,9,Traffic,72.6,113,0
7/27/2024 15:50,Truck_2,69.6609,38.4464,225,Delivered,19,63,Heavy,17,282,6,Weather,99.6,265,1
9/5/2024 14:12,Truck_3,20.8843,1.3947,303,Delayed,20.7,70.6,Clear,47,143,10,None,98.1,123,1
11/11/2024 22:09,Truck_1,-14.8081,-177.3003,237,Delayed,20.7,78.3,Heavy,35,491,2,None,80.7,189,1
5/1/2024 22:26,Truck_6,0.0414,-130.6505,172,Delivered,18.2,79.9,Clear,46,258,3,Mechanical Failure,60.1,154,0
7/26/2024 20:19,Truck_9,-79.9146,-3.8554,214,In Transit,21.7,77,Heavy,47,187,10,None,97.4,175,1
8/9/2024 1:16,Truck_3,76.4465,173.1493,330,Delayed,24,52.9,Heavy,14,425,1,Mechanical Failure,89.8,289,1
1/29/2024 21:04,Truck_5,-15.6005,-92.1974,130,Delivered,18.1,78.3,Heavy,39,424,9,Traffic,92.3,143,1
3/23/2024 12:47,Truck_2,67.396,170.1537,364,Delayed,26.9,67.8,Clear,55,467,7,Weather,95.2,128,1
10/17/2024 13:22,Truck_8,33.6179,-67.2758,430,Delayed,26.4,68.4,Heavy,16,277,8,None,71.9,137,1
7/11/2024 7:07,Truck_8,-50.8174,-40.3409,187,In Transit,18.6,67.7,Clear,12,375,5,None,85.4,140,0
12/11/2024 16:57,Truck_5,50.2709,125.6915,323,Delayed,28.3,61.2,Detour,52,139,4,Weather,72.4,127,1
1/10/2024 1:05,Truck_9,-73.8211,3.187,386,Delivered,26.6,78.2,Detour,19,456,7,Traffic,87.6,290,0
6/17/2024 7:59,Truck_9,79.1172,178.4934,422,Delayed,19.6,53.3,Heavy,40,205,5,Weather,86.1,242,1
6/25/2024 1:52,Truck_9,27.4253,90.1386,433,Delayed,24,77.8,Clear,37,173,9,Weather,89.6,143,1
4/17/2024 20:13,Truck_9,67.9086,-140.0283,318,Delivered,26,77.4,Clear,19,314,2,None,70.2,250,0
10/9/2024 18:26,Truck_9,-72.8958,129.8921,176,In Transit,22.6,73.3,Heavy,37,154,4,Mechanical Failure,91.4,169,1
11/27/2024 17:17,Truck_4,-58.6802,-62.7474,125,Delayed,23.4,57.6,Heavy,23,191,2,Traffic,72,241,1
6/12/2024 2:49,Truck_6,64.0395,-151.7045,336,In Transit,27.4,58.9,Detour,49,100,10,Weather,70.7,236,0
11/2/2024 21:19,Truck_7,-24.1402,-168.6013,244,Delivered,21.3,73.8,Heavy,39,229,7,None,98.1,197,1
2/29/2024 15:12,Truck_4,72.8574,179.01,391,In Transit,20.5,71.2,Detour,12,112,7,None,78.3,267,0
3/17/2024 23:47,Truck_6,7.3575,86.6442,425,Delivered,24.2,54.6,Detour,32,193,3,Weather,69.9,260,0
11/25/2024 10:39,Truck_5,68.9594,-123.5048,403,In Transit,26.9,60.6,Clear,50,418,1,Traffic,67.8,182,0
7/4/2024 18:22,Truck_4,14.9079,50.1606,438,Delayed,26.5,69.3,Heavy,34,378,5,Weather,88.7,256,1
3/19/2024 5:23,Truck_1,66.2353,10.8345,339,In Transit,26.8,64.5,Detour,24,235,6,Traffic,69.3,212,0
3/20/2024 1:25,Truck_9,70.1899,-65.6792,203,In Transit,18,68.9,Heavy,19,370,3,Traffic,74.4,254,1
7/18/2024 11:16,Truck_4,51.4539,-20.8253,313,Delivered,23.6,65.2,Clear,49,137,6,None,100,122,0
8/10/2024 8:40,Truck_2,-39.88,55.1792,261,Delivered,27.1,67.3,Detour,35,496,2,Weather,71.3,264,0
2/20/2024 8:11,Truck_8,-17.2355,-130.6915,179,In Transit,28.5,51,Detour,12,354,3,Weather,92.8,225,0
12/18/2024 2:23,Truck_6,-44.2576,-86.5073,442,In Transit,18.3,50.3,Clear,56,469,2,None,96.3,192,0
8/20/2024 16:18,Truck_5,19.9257,116.0526,291,Delivered,28.5,54.6,Heavy,14,316,7,None,77.5,288,1
11/6/2024 7:40,Truck_5,-47.2094,15.6324,348,Delivered,28.2,68.3,Clear,22,415,4,Traffic,67.4,204,0
12/14/2024 15:09,Truck_6,-58.4249,-57.6609,454,In Transit,23.7,51.9,Clear,51,232,7,Weather,78.7,172,0
1/15/2024 12:01,Truck_1,-20.0696,-73.2689,486,Delivered,29.1,78.4,Clear,21,158,7,None,62.6,243,0
5/18/2024 10:00,Truck_10,-36.8549,164.7618,483,In Transit,29.2,65,Heavy,57,167,8,Mechanical Failure,96.8,245,1
11/17/2024 2:02,Truck_4,-86.6609,-128.0354,472,Delivered,23.5,72,Clear,59,485,3,Weather,67.2,248,0
8/22/2024 20:11,Truck_5,-53.3732,-99.637,186,In Transit,18.9,70.5,Clear,38,344,1,Traffic,95.6,252,0
9/12/2024 8:00,Truck_6,-58.7963,-150.4122,366,In Transit,22.8,66.7,Clear,39,219,7,Traffic,91,211,0
8/9/2024 21:54,Truck_5,-46.1616,-46.6401,359,Delivered,23,71.7,Detour,50,486,10,Traffic,64,169,0
4/19/2024 2:50,Truck_7,33.8716,36.8753,422,Delayed,26.5,75,Heavy,39,100,6,None,67.2,127,1
9/30/2024 11:18,Truck_6,35.7136,-23.1356,209,In Transit,24.9,76.8,Clear,51,214,2,Mechanical Failure,86.5,156,0
3/22/2024 16:43,Truck_5,36.3858,-107.3894,324,Delayed,20.7,77.5,Heavy,39,387,1,None,69.1,138,1
10/15/2024 4:02,Truck_7,26.6125,25.4788,199,In Transit,27.4,57.1,Heavy,28,383,6,None,61.9,105,1
12/18/2024 19:01,Truck_5,-84.8915,57.5714,213,Delayed,27.7,58.1,Clear,41,267,7,Mechanical Failure,60.9,254,1
6/9/2024 17:12,Truck_4,-49.6846,-63.2892,257,Delayed,23.1,59.1,Clear,56,451,3,Weather,93.8,248,1
10/30/2024 2:01,Truck_5,14.7474,-2.5245,475,In Transit,22.2,79.4,Detour,25,268,3,Weather,60.3,151,0
6/23/2024 3:05,Truck_7,-8.6011,-63.1274,377,In Transit,22.7,75.5,Clear,59,445,7,None,99.1,272,0
8/19/2024 17:13,Truck_2,67.2149,117.9203,456,Delayed,26.4,51.4,Heavy,23,100,1,Weather,94.2,105,1
4/30/2024 12:39,Truck_1,-11.3392,-69.3395,106,Delayed,18.3,65.9,Heavy,53,244,2,Traffic,99.5,125,1
12/15/2024 3:53,Truck_10,26.3763,157.0905,234,Delayed,29.1,65.3,Clear,19,432,3,Weather,92.7,214,1
3/21/2024 14:56,Truck_8,-13.469,75.3408,390,Delayed,19.5,79.2,Heavy,26,366,4,Mechanical Failure,69.4,217,1
9/27/2024 18:08,Truck_4,-11.2424,-4.5638,203,Delivered,20.4,78.3,Detour,21,187,5,None,87.9,262,0
11/17/2024 8:35,Truck_6,62.6559,18.8474,297,Delayed,23.1,59.4,Detour,29,268,10,Traffic,71.2,151,1
5/3/2024 3:34,Truck_9,60.8032,-179.5906,238,In Transit,25,75.8,Heavy,26,330,9,Weather,99.2,165,1
3/5/2024 0:54,Truck_4,-10.0451,79.8956,126,Delivered,28.2,54.5,Detour,35,320,4,Mechanical Failure,93.7,136,0
1/14/2024 9:22,Truck_2,17.6483,114.2638,455,Delivered,22.9,79.6,Detour,51,410,9,Weather,84.9,233,0
2/17/2024 21:06,Truck_4,-51.9233,-57.5858,220,Delayed,29.4,52.4,Clear,18,468,9,Mechanical Failure,63.1,137,1
7/6/2024 11:17,Truck_5,22.3898,3.8948,403,In Transit,22.5,62.5,Clear,38,225,3,Weather,81.4,169,0
5/10/2024 22:14,Truck_10,86.3368,29.4478,448,Delayed,23.4,59.9,Detour,41,120,10,Weather,70.8,150,1
12/23/2024 18:56,Truck_5,-14.6662,-88.3674,168,In Transit,22.4,57.9,Heavy,43,377,4,Mechanical Failure,71.1,140,1
2/6/2024 8:28,Truck_7,-71.9057,-41.4314,409,Delivered,18,53.5,Heavy,47,153,9,None,74.1,117,1
9/16/2024 10:08,Truck_2,54.8888,7.4287,469,In Transit,20.7,70.4,Clear,31,335,7,Traffic,86.1,298,0
1/26/2024 12:56,Truck_5,-89.7915,85.8036,305,In Transit,20.5,71.2,Detour,44,302,10,Weather,71.9,141,0
11/29/2024 6:34,Truck_5,39.9088,71.9595,219,Delayed,26.6,79.8,Heavy,46,245,1,None,70.5,202,1
6/2/2024 19:16,Truck_8,30.7119,111.5767,167,Delayed,23.8,71.6,Clear,55,416,8,Traffic,60.7,263,1
2/8/2024 10:07,Truck_4,5.7076,-79.9256,100,Delayed,24.1,50.9,Detour,39,340,4,None,96.9,274,1
8/17/2024 7:05,Truck_9,69.0509,91.848,321,In Transit,25.4,53.8,Clear,24,340,5,Traffic,84.6,223,0
1/27/2024 4:09,Truck_7,52.7828,176.0671,244,Delivered,23.6,64.9,Clear,24,145,4,Mechanical Failure,67.6,285,0
12/13/2024 0:55,Truck_9,42.967,146.1358,281,Delivered,18.4,74.6,Detour,41,419,6,None,69.1,242,0
10/26/2024 21:55,Truck_7,-11.9943,-126.8743,301,Delivered,18.3,60,Detour,42,243,3,Mechanical Failure,99,273,0
3/19/2024 5:42,Truck_8,60.5903,-90.0415,437,In Transit,25.5,73.2,Clear,59,310,2,None,83.9,228,0
10/23/2024 14:15,Truck_7,-23.2982,143.8634,253,In Transit,22.8,78.7,Clear,49,180,3,Weather,74,296,0
1/18/2024 8:34,Truck_2,-34.2189,-36.6288,491,Delivered,25.5,50.3,Heavy,18,111,1,Weather,97.1,100,1
11/15/2024 11:42,Truck_3,19.545,73.0968,172,Delayed,22.8,60.4,Detour,38,187,9,Weather,83.3,106,1
7/1/2024 16:37,Truck_7,33.3351,-103.926,252,Delayed,24.4,72.3,Detour,54,156,6,Mechanical Failure,86.8,225,1
